Date,Open,High,Low,Close,Volume,Adj Close
2013-02-01,54.87,55.20,54.67,54.92,2347600,54.92
2013-01-31,54.74,54.97,53.99,54.29,3343300,54.29
2013-01-30,54.84,55.35,54.68,54.68,2472800,54.68
2013-01-29,53.68,54.49,53.65,54.37,1739600,54.37
2013-01-28,53.48,53.49,53.12,53.28,1110900,53.28
2013-01-25,53.66,53.81,53.36,53.51,1006100,53.51
2013-01-24,52.69,53.25,52.61,52.97,821800,52.97
2013-01-23,52.43,52.76,52.21,52.76,864000,52.76
2013-01-22,52.59,52.96,52.41,52.79,923700,52.79
2013-01-18,52.79,52.85,52.22,52.69,1744400,52.69
2013-01-17,53.25,53.27,52.94,53.12,786100,53.12
2013-01-16,52.86,53.20,52.78,52.95,773000,52.95
2013-01-15,52.79,53.25,52.75,53.20,872100,53.20
2013-01-14,52.89,53.02,52.68,52.91,1107100,52.91
2013-01-11,52.59,52.92,52.32,52.88,1160800,52.88
2013-01-10,52.33,52.50,52.11,52.38,1185200,52.38
2013-01-09,51.59,51.87,51.54,51.55,822200,51.55
2013-01-08,51.58,51.66,51.32,51.58,1092500,51.58
